Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
Base_link,-0.0248597493611827,-3.81839786441594E-07,0.0327414194887514,0,0,0,0.218317671194343,0.000151926665111733,-5.21716728228873E-07,2.17841939240392E-05,0.000142658267946271,-1.89912984555434E-09,0.000183766595974867,0,0,0,0,0,0,package://Kuka_leader_links/meshes/Base_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://Kuka_leader_links/meshes/Base_link.STL,,Base_link-1,Coordinate System1 <Base_link-1>,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
Link1,0.0111476381018143,-6.46888877360143E-05,0.0170519876812583,0,0,0,0.153745267313645,6.16045690161582E-05,-2.53428632992826E-07,1.0400852520168E-05,7.28883363910688E-05,1.94758362631886E-07,3.88503156507923E-05,0,0,0,0,0,0,package://Kuka_leader_links/meshes/Link1.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://Kuka_leader_links/meshes/Link1.STL,,Shoulder_link-1,Coordinate System1 <Shoulder_link-1>,Axis_Joint1,Joint1,continuous,0.00056321,0,0.064537,0,0.0087266,0,Base_link,0,0,1,,,,,,,,,,,,
Link2,-0.108343358855152,-0.0041230854997826,7.17955219499506E-05,0,0,0,0.233019007329382,7.68700948910709E-05,1.14700424622643E-06,-8.94304487168792E-07,0.000177290635462152,2.81259429956466E-09,0.000133902993452415,0,0,0,0,0,0,package://Kuka_leader_links/meshes/Link2.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://Kuka_leader_links/meshes/Link2.STL,,Link2-1,Coordinate System1 <Link2-1>,Axis_Joint2,Joint2,continuous,9.9432E-05,-0.00048779,0.054336,1.8125,1.5343,-2.9,Link1,0,0,1,,,,,,,,,,,,
Link3,0.0660394094892243,-0.000111922412785126,0.00833723931050324,0,0,0,0.146767526344916,5.60960712739233E-05,3.11527501951575E-07,-3.09377379263001E-06,0.000108880470636213,-5.78721666536018E-08,6.905822973685E-05,0,0,0,0,0,0,package://Kuka_leader_links/meshes/Link3.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://Kuka_leader_links/meshes/Link3.STL,,Link3-1,Coordinate System1 <Link3-1>,Axis1 <Link3-1>,Joint3,revolute,-0.16585,-0.028136,-0.00038779,0.00089335,-0.0086808,-1.6733,Link2,0,0,1,0,0,0,0,,,,,,,,
Link4,0.000929414227073063,0.00141383880261409,0.0362117439740666,0,0,0,0.113241416874428,2.11473639816992E-05,5.37200824125705E-08,-2.08754060058872E-07,2.5874968271863E-05,-8.51523588498561E-07,1.97657393415209E-05,0,0,0,0,0,0,package://Kuka_leader_links/meshes/Link4.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://Kuka_leader_links/meshes/Link4.STL,,Link4-1,Coordinate System1 <Link4-1>,Axis_Joint4,Joint4,continuous,0.10556,0,0.0011,-1.5708,1.5523,-1.5708,Link3,0,0,1,,,,,,,,,,,,
Link5,0.0375462300856765,-0.000226743560462095,0.00970889139196446,0,0,0,0.101925129884973,2.93560635877335E-05,1.20282416654306E-07,-1.9443376558239E-06,3.58339485294493E-05,2.09944000525946E-08,1.84827139983374E-05,0,0,0,0,0,0,package://Kuka_leader_links/meshes/Link5.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://Kuka_leader_links/meshes/Link5.STL,,Link5-1,Coordinate System1 <Link5-1>,Axis1 <Link5-1>,Joint5,revolute,0.0016,-0.0001,0.0592,1.5708,-1.4966,-1.5708,Link4,0,0,1,0,0,0,0,,,,,,,,
Link6,-0.000838536370098963,0.016644147405497,0.0399072936369448,0,0,0,0.192043558317595,8.04841433415796E-05,-4.64848674444896E-07,-1.27384300734785E-06,3.66994116429063E-05,-1.70861910320783E-05,6.98439848129229E-05,0,0,0,0,0,0,package://Kuka_leader_links/meshes/Link6.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://Kuka_leader_links/meshes/Link6.STL,,Link6-1,Coordinate System1 <Link6-1>,Axis_Joint6,Joint6,continuous,0.0615,0,0,-1.5708,1.564,-1.5708,Link5,0,0,1,,,,,,,,,,,,
